SILLAS;SATISFECHO;SATISFECHO;2017;5;5;7;2
MESAS;SATISFECHO;SATISFECHO;2010;6;5;9;2
MESAS;SATISFECHO;SATISFECHO;2009;8;19;2;44
ORDENADOR;CONTENTO;CONTENTO;2004;2;26;7;6
PROYECTOR;SATISFECHO;SATISFECHO;2004;3;21;8;43
TECLADO;SATISFECHO;SATISFECHO;2017;1;11;12;24
TEMPERATURA;ENFADADO;ENFADADO;2002;4;13;8;56
ORDENADOR;SATISFECHO;SATISFECHO;2002;3;11;11;53
LUZ;ENFADADO;ENFADADO;2007;11;30;5;36
PANTALLAS;CONTENTO;CONTENTO;2000;4;22;17;18
SILLAS;SATISFECHO;SATISFECHO;2010;7;2;2;22
LUZ;NEUTRAL;NEUTRAL;1997;10;22;14;10
PANTALLAS;CONTENTO;CONTENTO;2020;2;28;22;7
ORDENADOR;CONTENTO;CONTENTO;2009;8;2;23;3
SILLAS;CONTENTO;CONTENTO;1997;9;18;17;14
SILLAS;SATISFECHO;SATISFECHO;1998;9;12;10;38
AGUA;SATISFECHO;SATISFECHO;2003;4;23;6;7
TECLADO;NEUTRAL;NEUTRAL;2011;6;2;23;43
PROYECTOR;CONTENTO;CONTENTO;1997;12;2;21;52
MESAS;NEUTRAL;NEUTRAL;2008;3;7;6;39
TECLADO;ENFADADO;ENFADADO;2025;12;29;6;53
MESAS;SATISFECHO;SATISFECHO;2024;9;1;18;2
MESAS;SATISFECHO;SATISFECHO;2002;2;4;7;38
PANTALLAS;ENFADADO;ENFADADO;2015;12;30;12;11
PANTALLAS;NEUTRAL;NEUTRAL;2001;1;31;13;47
PANTALLAS;SATISFECHO;SATISFECHO;1997;2;8;3;50
PROYECTOR;CONTENTO;CONTENTO;2008;7;12;5;42
TECLADO;ENFADADO;ENFADADO;1996;6;1;18;6
TECLADO;SATISFECHO;SATISFECHO;2005;6;23;19;56
LUZ;NEUTRAL;NEUTRAL;2002;2;28;21;55
TEMPERATURA;ENFADADO;ENFADADO;2022;8;10;11;37
PANTALLAS;ENFADADO;ENFADADO;2004;3;27;22;50
AGUA;CONTENTO;CONTENTO;1997;10;10;1;28
TEMPERATURA;SATISFECHO;SATISFECHO;2023;9;19;5;6
PANTALLAS;NEUTRAL;NEUTRAL;2006;12;1;22;2
TEMPERATURA;SATISFECHO;SATISFECHO;1998;7;6;8;23
RATON;NEUTRAL;NEUTRAL;2025;3;19;22;12
PROYECTOR;SATISFECHO;SATISFECHO;2013;5;31;19;47
RATON;SATISFECHO;SATISFECHO;2017;9;7;11;10
TEMPERATURA;CONTENTO;CONTENTO;2019;6;4;1;45
TECLADO;ENFADADO;ENFADADO;2004;10;5;23;56
MESAS;NEUTRAL;NEUTRAL;1995;5;15;1;48
TEMPERATURA;NEUTRAL;NEUTRAL;2021;1;7;8;23
LUZ;ENFADADO;ENFADADO;2018;5;22;0;15
TECLADO;NEUTRAL;NEUTRAL;1996;5;5;1;34
TECLADO;NEUTRAL;NEUTRAL;2014;10;7;12;21
LUZ;NEUTRAL;NEUTRAL;2013;10;31;13;57
PROYECTOR;CONTENTO;CONTENTO;2002;12;9;13;26
PROYECTOR;CONTENTO;CONTENTO;2000;4;16;10;9
RATON;CONTENTO;CONTENTO;2022;9;1;22;39
SILLAS;ENFADADO;ENFADADO;2018;7;7;5;18
MESAS;SATISFECHO;SATISFECHO;2019;5;23;21;44
ORDENADOR;CONTENTO;CONTENTO;2002;12;22;8;22
RATON;CONTENTO;CONTENTO;1998;4;21;4;24
RATON;ENFADADO;ENFADADO;2013;10;15;14;49
AGUA;NEUTRAL;NEUTRAL;2007;1;26;4;10
LUZ;ENFADADO;ENFADADO;2022;5;24;21;32
PANTALLAS;SATISFECHO;SATISFECHO;2015;11;7;13;13
PROYECTOR;ENFADADO;ENFADADO;2023;11;4;19;5
TEMPERATURA;NEUTRAL;NEUTRAL;1994;8;8;20;51
AGUA;CONTENTO;CONTENTO;2020;4;26;7;33
PANTALLAS;ENFADADO;ENFADADO;2001;2;28;4;21
LUZ;ENFADADO;ENFADADO;2014;6;22;20;45
TECLADO;CONTENTO;CONTENTO;2005;12;7;16;4
PANTALLAS;SATISFECHO;SATISFECHO;2013;4;9;16;51
MESAS;SATISFECHO;SATISFECHO;2000;7;15;18;4
PROYECTOR;NEUTRAL;NEUTRAL;2015;7;19;8;37
LUZ;ENFADADO;ENFADADO;2025;6;25;20;9
TECLADO;CONTENTO;CONTENTO;2008;11;22;4;43
PROYECTOR;SATISFECHO;SATISFECHO;2003;8;31;8;1
SILLAS;SATISFECHO;SATISFECHO;2011;1;20;9;46
PROYECTOR;ENFADADO;ENFADADO;1999;10;20;6;23
PROYECTOR;ENFADADO;ENFADADO;2004;5;30;8;24
LUZ;NEUTRAL;NEUTRAL;1994;11;10;17;39
AGUA;SATISFECHO;SATISFECHO;2020;1;13;1;2
SILLAS;CONTENTO;CONTENTO;2013;1;29;8;44
LUZ;ENFADADO;ENFADADO;2014;11;23;1;18
SILLAS;NEUTRAL;NEUTRAL;2017;6;11;13;26
TECLADO;NEUTRAL;NEUTRAL;2022;1;1;11;5
ORDENADOR;ENFADADO;ENFADADO;2007;2;16;7;37
RATON;SATISFECHO;SATISFECHO;2021;1;19;16;59
TECLADO;CONTENTO;CONTENTO;2014;6;9;20;27
TEMPERATURA;SATISFECHO;SATISFECHO;2001;1;3;16;32
PANTALLAS;SATISFECHO;SATISFECHO;1999;1;15;3;47
TECLADO;ENFADADO;ENFADADO;2010;10;2;22;3
ORDENADOR;SATISFECHO;SATISFECHO;2020;7;10;20;40
RATON;ENFADADO;ENFADADO;1994;3;27;10;9
AGUA;ENFADADO;ENFADADO;2018;1;25;3;56
LUZ;ENFADADO;ENFADADO;2005;11;10;23;0
AGUA;NEUTRAL;NEUTRAL;2018;4;22;20;13
LUZ;CONTENTO;CONTENTO;2015;5;31;22;52
TEMPERATURA;NEUTRAL;NEUTRAL;2004;11;25;6;59
PANTALLAS;NEUTRAL;NEUTRAL;2006;9;22;9;36
TECLADO;CONTENTO;CONTENTO;2015;5;27;4;10
PANTALLAS;SATISFECHO;SATISFECHO;2011;12;5;17;2
LUZ;NEUTRAL;NEUTRAL;2003;11;11;15;54
RATON;CONTENTO;CONTENTO;2005;6;23;23;51
TEMPERATURA;CONTENTO;CONTENTO;2008;9;16;8;30
RATON;CONTENTO;CONTENTO;2022;9;7;20;1
LUZ;CONTENTO;CONTENTO;2008;4;12;21;56
TECLADO;ENFADADO;ENFADADO;2009;9;2;8;38
LUZ;SATISFECHO;SATISFECHO;2007;8;16;18;43
SILLAS;ENFADADO;ENFADADO;2000;11;30;13;37
SILLAS;CONTENTO;CONTENTO;2025;5;4;12;15
AGUA;SATISFECHO;SATISFECHO;2002;2;14;2;20
PANTALLAS;NEUTRAL;NEUTRAL;2005;4;3;3;23
PROYECTOR;SATISFECHO;SATISFECHO;2017;6;19;9;16
MESAS;SATISFECHO;SATISFECHO;2000;12;31;19;12
AGUA;CONTENTO;CONTENTO;2024;6;14;11;39
TEMPERATURA;ENFADADO;ENFADADO;2014;6;3;12;20
ORDENADOR;NEUTRAL;NEUTRAL;2000;5;14;11;4
LUZ;NEUTRAL;NEUTRAL;2015;4;4;3;30
LUZ;ENFADADO;ENFADADO;2013;12;12;20;25
LUZ;SATISFECHO;SATISFECHO;2010;8;10;9;58
TECLADO;NEUTRAL;NEUTRAL;1995;11;16;19;46
AGUA;SATISFECHO;SATISFECHO;2009;11;12;16;26
SILLAS;SATISFECHO;SATISFECHO;2022;4;30;15;29
TECLADO;NEUTRAL;NEUTRAL;2017;8;10;0;13
RATON;ENFADADO;ENFADADO;2009;2;10;16;7
PANTALLAS;CONTENTO;CONTENTO;2002;6;1;7;5
AGUA;NEUTRAL;NEUTRAL;2019;12;1;8;35
TECLADO;NEUTRAL;NEUTRAL;2003;10;15;20;0
SILLAS;CONTENTO;CONTENTO;2001;9;18;23;52
LUZ;CONTENTO;CONTENTO;2011;2;28;13;8
ORDENADOR;CONTENTO;CONTENTO;1997;1;29;6;33
MESAS;ENFADADO;ENFADADO;2017;3;2;18;38
PANTALLAS;NEUTRAL;NEUTRAL;2013;9;19;19;12
PROYECTOR;NEUTRAL;NEUTRAL;1996;7;18;6;44
MESAS;ENFADADO;ENFADADO;2021;10;10;16;58
PROYECTOR;NEUTRAL;NEUTRAL;2000;3;15;21;13
TECLADO;NEUTRAL;NEUTRAL;2020;5;30;12;56
PROYECTOR;NEUTRAL;NEUTRAL;2001;7;4;7;50
MESAS;ENFADADO;ENFADADO;2016;4;1;15;27
AGUA;ENFADADO;ENFADADO;2003;5;29;16;0
LUZ;NEUTRAL;NEUTRAL;2023;7;29;20;48
PROYECTOR;NEUTRAL;NEUTRAL;2007;8;31;20;37
LUZ;SATISFECHO;SATISFECHO;2018;8;12;13;49
MESAS;CONTENTO;CONTENTO;2006;2;13;12;59
LUZ;NEUTRAL;NEUTRAL;2018;9;17;4;7
PANTALLAS;NEUTRAL;NEUTRAL;2009;10;12;7;26
SILLAS;NEUTRAL;NEUTRAL;1995;9;28;4;54
LUZ;SATISFECHO;SATISFECHO;2006;12;20;12;39
LUZ;SATISFECHO;SATISFECHO;2023;4;3;23;46
SILLAS;SATISFECHO;SATISFECHO;2023;7;17;23;2
SILLAS;SATISFECHO;SATISFECHO;2002;11;11;7;48
SILLAS;NEUTRAL;NEUTRAL;2020;11;12;10;15
ORDENADOR;ENFADADO;ENFADADO;2007;9;8;21;27
TEMPERATURA;ENFADADO;ENFADADO;2012;12;18;20;55
RATON;NEUTRAL;NEUTRAL;2014;8;7;5;10
AGUA;ENFADADO;ENFADADO;2015;5;22;7;8
TECLADO;CONTENTO;CONTENTO;2015;12;12;21;9
MESAS;CONTENTO;CONTENTO;1997;5;18;21;19
PANTALLAS;SATISFECHO;SATISFECHO;2001;12;9;7;27
TECLADO;NEUTRAL;NEUTRAL;2003;1;6;0;15
PROYECTOR;CONTENTO;CONTENTO;2010;2;2;17;32
PROYECTOR;NEUTRAL;NEUTRAL;2009;1;18;0;44
